misalignment_index,cam_roll_deg,cam_pitch_deg,cam_yaw_deg,yaw_index,car_roll_deg,car_pitch_deg,car_yaw_deg,weighted_rmse
2,0.0,-0.5,0.0,4,0.0,-0.0,-160.0,0.000730471115716153
2,0.0,-0.5,0.0,5,0.0,-0.0,-155.0,0.0007309994500457909
2,0.0,-0.5,0.0,6,0.0,-0.0,-150.0,0.0007322800492178189
2,0.0,-0.5,0.0,7,0.0,-0.0,-145.0,0.0007342690609171383
2,0.0,-0.5,0.0,8,0.0,-0.0,-140.0,0.0007368978690655538
2,0.0,-0.5,0.0,9,0.0,-0.0,-135.0,0.0007400734847493211
2,0.0,-0.5,0.0,10,0.0,-0.0,-130.0,0.0007436820056965145
2,0.0,-0.5,0.0,11,0.0,-0.0,-125.00000000000001,0.0007475925817788032
2,0.0,-0.5,0.0,12,0.0,-0.0,-120.00000000000001,0.0007516639550619215
2,0.0,-0.5,0.0,13,0.0,-0.0,-115.0,0.000755752700855858
2,0.0,-0.5,0.0,14,0.0,-0.0,-109.99999999999999,0.0007597232666809077
2,0.0,-0.5,0.0,15,0.0,-0.0,-105.00000000000001,0.0007634551884029731
2,0.0,-0.5,0.0,16,0.0,-0.0,-100.0,0.0007668459905122882
2,0.0,-0.5,0.0,17,0.0,-0.0,-95.0,0.0007698144808738969
2,0.0,-0.5,0.0,18,0.0,-0.0,-89.99999999999999,0.0007723009204727412
2,0.0,-0.5,0.0,19,0.0,-0.0,-85.0,0.0007742640056667554
2,0.0,-0.5,0.0,20,0.0,-0.0,-80.0,0.0007756773878242713
2,0.0,-0.5,0.0,21,0.0,-0.0,-75.0,0.0007765256433314596
2,0.0,-0.5,0.0,22,0.0,-0.0,-70.0,0.0007768008973290327
2,0.0,-0.5,0.0,23,0.0,-0.0,-65.0,0.0007765005245021369
2,0.0,-0.5,0.0,24,0.0,-0.0,-60.00000000000001,0.0007756262658689563
2,0.0,-0.5,0.0,25,0.0,-0.0,-55.00000000000002,0.0007741853652657902
2,0.0,-0.5,0.0,26,0.0,-0.0,-49.99999999999999,0.0007721928882786688
2,0.0,-0.5,0.0,27,0.0,-0.0,-45.00000000000001,0.0007696754979225495
2,0.0,-0.5,0.0,28,0.0,-0.0,-40.000000000000014,0.0007666756954519248
2,0.0,-0.5,0.0,29,0.0,-0.0,-35.000000000000014,0.0007632561360667842
2,0.0,-0.5,0.0,30,0.0,-0.0,-29.999999999999993,0.0007595021403859791
2,0.0,-0.5,0.0,31,0.0,-0.0,-24.999999999999996,0.0007555219477017521
2,0.0,-0.5,0.0,32,0.0,-0.0,-20.0,0.0007514427576790955
2,0.0,-0.5,0.0,33,0.0,-0.0,-15.000000000000009,0.0007474082480893527
2,0.0,-0.5,0.0,34,0.0,-0.0,-10.000000000000014,0.0007435679836687065
2,0.0,-0.5,0.0,35,0.0,-0.0,-4.999999999999995,0.0007400677935941658
2,0.0,-0.5,0.0,36,0.0,-0.0,0.0,0.0007370406274160243
2,0.0,-0.5,0.0,37,0.0,-0.0,4.999999999999995,0.0007346001426443535
2,0.0,-0.5,0.0,38,0.0,-0.0,9.999999999999988,0.0007328362069534016
2,0.0,-0.5,0.0,39,0.0,-0.0,15.000000000000009,0.0007318126965689469
2,0.0,-0.5,0.0,40,0.0,-0.0,20.0,0.0007315660845503833
2,0.0,-0.5,0.0,41,0.0,-0.0,24.999999999999996,0.0007321051490195273
2,0.0,-0.5,0.0,42,0.0,-0.0,29.999999999999993,0.0007334106930351209
2,0.0,-0.5,0.0,43,0.0,-0.0,34.99999999999999,0.0007354359969690661
2,0.0,-0.5,0.0,44,0.0,-0.0,40.000000000000014,0.0007381072908305177
2,0.0,-0.5,0.0,45,0.0,-0.0,45.00000000000001,0.0007413253852800674
2,0.0,-0.5,0.0,46,0.0,-0.0,49.99999999999999,0.0007449689108106995
2,0.0,-0.5,0.0,47,0.0,-0.0,54.99999999999999,0.0007488991558676523
2,0.0,-0.5,0.0,48,0.0,-0.0,59.999999999999986,0.0007529677411433733
2,0.0,-0.5,0.0,49,0.0,-0.0,64.99999999999997,0.0007570260192725023
2,0.0,-0.5,0.0,50,0.0,-0.0,69.99999999999997,0.0007609357669826159
2,0.0,-0.5,0.0,51,0.0,-0.0,75.00000000000001,0.0007645764568159509
2,0.0,-0.5,0.0,52,0.0,-0.0,80.00000000000001,0.0007678480749328113
2,0.0,-0.5,0.0,53,0.0,-0.0,85.0,0.0007706740067635832
2,0.0,-0.5,0.0,54,0.0,-0.0,89.99999999999999,0.0007729995778195717
2,0.0,-0.5,0.0,55,0.0,-0.0,95.0,0.0007747886016099987
2,0.0,-0.5,0.0,56,0.0,-0.0,99.99999999999997,0.0007760193285589048
2,0.0,-0.5,0.0,57,0.0,-0.0,104.99999999999999,0.0007766799511999465
2,0.0,-0.5,0.0,58,0.0,-0.0,109.99999999999997,0.0007767654891870357
2,0.0,-0.5,0.0,59,0.0,-0.0,114.99999999999997,0.000776275804828806
2,0.0,-0.5,0.0,60,0.0,-0.0,120.00000000000001,0.0007752153892556541
2,0.0,-0.5,0.0,61,0.0,-0.0,125.00000000000001,0.0007735945848020954
2,0.0,-0.5,0.0,62,0.0,-0.0,130.0,0.0007714324231552057
2,0.0,-0.5,0.0,63,0.0,-0.0,135.0,0.0007687603402846419
2,0.0,-0.5,0.0,64,0.0,-0.0,140.0,0.0007656261289764022
2,0.0,-0.5,0.0,65,0.0,-0.0,145.0,0.0007620973796752822
2,0.0,-0.5,0.0,66,0.0,-0.0,149.99999999999997,0.0007582633367070361
2,0.0,-0.5,0.0,67,0.0,-0.0,154.99999999999997,0.0007542337559507445
2,0.0,-0.5,0.0,68,0.0,-0.0,159.99999999999997,0.0007501349704460805
2,0.0,-0.5,0.0,69,0.0,-0.0,165.00000000000003,0.0007461067349391221
2,0.0,-0.5,0.0,70,0.0,-0.0,170.0,0.0007422927406829721
2,0.0,-0.5,0.0,71,0.0,-0.0,175.0,0.0007388312413605221
3,0.25,-0.5,1.9413304393625098e-19,0,0.0,-0.0,-180.0,0.0008030820745247382
3,0.25,-0.5,1.9413304393625098e-19,1,0.0,-0.0,-175.0,0.0007988705931306808
3,0.25,-0.5,1.9413304393625098e-19,2,0.0,-0.0,-170.0,0.0007945807560850916
3,0.25,-0.5,1.9413304393625098e-19,3,0.0,-0.0,-165.0,0.0007903462806533873
3,0.25,-0.5,1.9413304393625098e-19,4,0.0,-0.0,-160.0,0.0007863134848152415
3,0.25,-0.5,1.9413304393625098e-19,5,0.0,-0.0,-155.0,0.0007826306307015176
3,0.25,-0.5,1.9413304393625098e-19,6,0.0,-0.0,-150.0,0.0007794408088865788
3,0.25,-0.5,1.9413304393625098e-19,7,0.0,-0.0,-145.0,0.0007768751210775165
3,0.25,-0.5,1.9413304393625098e-19,8,0.0,-0.0,-140.0,0.0007750442961699013
3,0.25,-0.5,1.9413304393625098e-19,9,0.0,-0.0,-135.0,0.0007740313498169316
3,0.25,-0.5,1.9413304393625098e-19,10,0.0,-0.0,-130.0,0.0007738848899743659
3,0.25,-0.5,1.9413304393625098e-19,11,0.0,-0.0,-125.00000000000001,0.000774612101012016
3,0.25,-0.5,1.9413304393625098e-19,12,0.0,-0.0,-120.00000000000001,0.000776174983211911
